Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
719,Clyde Edwards-Helaire,KC,RB,8,NYJ,6,21,3.5,0,3,3,10,0,0,0,6.1,6.1
719,Latavius Murray,NO,RB,8,CHI,8,17,2.1,0,3,3,14,0,0,0,6.1,6.1
719,Josh Jacobs,LV,RB,7,TB,10,17,1.7,0,4,3,14,0,0,0,6.1,6.1
729,Frank Gore,NYJ,RB,7,BUF,11,60,5.5,0,0,0,0,0,0,0,6,6
729,Rex Burkhead,NE,RB,4,KC,11,45,4.1,0,1,1,5,0,0,0,6,6
729,Damien Harris,NE,RB,14,LAR,11,50,4.5,0,2,1,0,0,0,0,6,6
729,Justice Hill,BAL,RB,12,PIT,9,35,3.9,0,2,2,5,0,0,0,6,6
729,Tevin Coleman,SF,RB,2,NYJ,14,12,0.9,0,2,2,28,0,0,0,6,6
729,Tony Pollard,DAL,RB,6,ARI,10,31,3.1,0,4,2,9,0,0,0,6,6
729,Kenyan Drake,ARI,RB,15,PHI,10,26,2.6,0,2,2,14,0,0,0,6,6
729,Brian Hill,ATL,RB,7,DET,2,3,1.5,0,3,3,27,0,0,0,6,6
737,Anthony McFarland Jr.,PIT,RB,3,HOU,6,42,7,0,2,1,7,0,0,0,5.9,5.9
738,Kyle Juszczyk,SF,FB,1,ARI,1,7,7,0,3,1,41,0,0,0,5.8,5.8
738,Peyton Barber,WAS,RB,14,SF,12,37,3.1,0,3,2,1,0,0,0,5.8,5.8
738,Rodney Smith,CAR,RB,16,WAS,7,23,3.3,0,2,2,15,0,0,0,5.8,5.8
738,Kerryon Johnson,DET,RB,11,CAR,6,17,2.8,0,5,2,21,0,0,0,5.8,5.8
738,Nyheim Hines,IND,RB,9,BAL,2,18,9,0,3,2,20,0,0,0,5.8,5.8
738,Jordan Wilkins,IND,RB,9,BAL,11,39,3.5,0,2,2,-1,0,0,0,5.8,5.8
738,La'Mical Perine,NYJ,RB,9,NE,6,19,3.2,0,2,2,19,0,0,0,5.8,5.8
738,Kareem Hunt,CLE,RB,15,NYG,7,21,3,0,3,3,7,0,0,0,5.8,5.8
746,Peyton Barber,WAS,RB,12,DAL,11,57,5.2,0,0,0,0,0,0,0,5.7,5.7
746,Latavius Murray,NO,RB,10,SF,9,57,6.3,0,0,0,0,0,0,0,5.7,5.7
746,Mark Ingram II,BAL,RB,5,CIN,11,57,5.2,0,0,0,0,0,0,0,5.7,5.7
746,Carlos Hyde,SEA,RB,2,NE,5,22,4.4,0,2,2,15,0,0,0,5.7,5.7
746,Jonathan Taylor,IND,RB,10,TEN,7,12,1.7,0,2,2,25,0,0,0,5.7,5.7
746,Ito Smith,ATL,RB,4,GB,2,3,1.5,0,3,3,24,0,0,0,5.7,5.7
746,Ty Johnson,NYJ,RB,11,LAC,0,0,0,0,6,4,17,0,0,0,5.7,5.7
753,Jerick McKinnon,SF,RB,10,NO,18,33,1.8,0,3,1,13,0,0,0,5.6,5.6
753,Devontae Booker,LV,RB,8,CLE,5,29,5.8,0,1,1,17,0,0,0,5.6,5.6
753,Jamaal Williams,GB,RB,13,PHI,5,26,5.2,0,2,2,10,0,0,0,5.6,5.6
753,La'Mical Perine,NYJ,RB,6,MIA,7,27,3.9,0,3,2,9,0,0,0,5.6,5.6
753,Jonathan Williams,DET,RB,12,HOU,1,5,5,0,4,4,21,0,1,1,5.6,5.6
758,Brian Hill,ATL,RB,12,LV,13,55,4.2,0,1,0,0,0,0,0,5.5,5.5
758,Jordan Wilkins,IND,RB,3,NYJ,9,39,4.3,0,1,1,6,0,0,0,5.5,5.5
758,Devin Singletary,BUF,RB,6,KC,10,32,3.2,0,2,1,13,0,0,0,5.5,5.5
758,Buddy Howell,HOU,RB,14,CHI,11,42,3.8,0,2,1,3,0,0,0,5.5,5.5
758,Ito Smith,ATL,RB,14,LAC,11,42,3.8,0,1,1,3,0,0,0,5.5,5.5
758,Royce Freeman,DEN,RB,3,TB,2,4,2,0,2,2,31,0,0,0,5.5,5.5
758,Le'Veon Bell,KC,RB,14,MIA,2,21,10.5,0,3,2,14,0,0,0,5.5,5.5
758,James White,NE,RB,8,BUF,2,0,0,0,4,2,35,0,0,0,5.5,5.5
758,J.K. Dobbins,BAL,RB,9,IND,12,30,2.5,0,2,2,5,0,0,0,5.5,5.5
767,Duke Johnson,HOU,RB,10,CLE,14,54,3.9,0,1,0,0,0,0,0,5.4,5.4
767,Tyler Ervin,GB,RB,1,MIN,3,38,12.7,0,1,1,6,0,0,0,5.4,5.4
767,La'Mical Perine,NYJ,RB,16,CLE,9,30,3.3,0,2,1,14,0,0,0,5.4,5.4
767,Chase Edmonds,ARI,RB,3,DET,3,13,4.3,0,2,2,21,0,0,0,5.4,5.4
771,J.D. McKissic,WAS,RB,2,ARI,8,53,6.6,0,0,0,0,0,0,0,5.3,5.3
771,Darrel Williams,KC,RB,13,DEN,6,38,6.3,0,2,1,5,0,0,0,5.3,5.3
771,Raheem Mostert,SF,RB,13,BUF,9,42,4.7,0,1,1,1,0,0,0,5.3,5.3
771,Cam Akers,LAR,RB,1,DAL,14,39,2.8,0,1,1,4,0,0,0,5.3,5.3
771,Cordarrelle Patterson,CHI,RB,2,NYG,7,25,3.6,0,2,2,8,0,0,0,5.3,5.3
771,Latavius Murray,NO,RB,2,LV,3,14,4.7,0,2,2,19,0,0,0,5.3,5.3
771,La'Mical Perine,NYJ,RB,8,KC,8,27,3.4,0,2,2,6,0,0,0,5.3,5.3
771,Ito Smith,ATL,RB,15,TB,6,24,4,0,3,2,9,0,0,0,5.3,5.3
771,D'Andre Swift,DET,RB,8,IND,6,1,0.2,0,4,3,22,0,0,0,5.3,5.3
771,Malcolm Perry,MIA,RB,11,DEN,0,0,0,0,5,3,23,0,0,0,5.3,5.3
771,Joshua Kelley,LAC,RB,4,TB,9,7,0.8,0,3,3,26,0,1,1,5.3,5.3
