Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
208,Ezekiel Elliott,DAL,RB,17,NYG,14,21,6400,15.24
209,Todd Gurley II,ATL,RB,6,MIN,29,17,6300,15.22
210,Darrell Henderson Jr.,LAR,RB,4,NYG,17,23,5800,15.2
211,Ezekiel Elliott,DAL,RB,14,CIN,23,22,6600,15.18
212,Joe Mixon,CIN,RB,4,JAX,23,17,5800,15.17
213,Myles Gaskin,MIA,RB,6,NYJ,23,27,5400,15.15
214,Antonio Gibson,WAS,RB,13,PIT,2,2,6800,15.1
215,D'Andre Swift,DET,RB,16,TB,14,1,6400,15.08
216,Miles Sanders,PHI,RB,2,LAR,13,26,6000,15.07
217,Miles Sanders,PHI,RB,16,DAL,28,26,7000,15.06
218,David Montgomery,CHI,RB,15,MIN,22,13,7000,15.05
219,Antonio Gibson,WAS,RB,12,DAL,29,24,6000,15.04
220,Nick Chubb,CLE,RB,12,JAX,31,25,7100,15.02
221,Nick Chubb,CLE,RB,14,BAL,3,8,7600,15.01
221,Jamaal Williams,GB,RB,7,HOU,28,32,4000,15.01
223,David Johnson,HOU,RB,4,MIN,30,24,5600,14.96
224,Ronald Jones,TB,RB,6,GB,16,31,6000,14.92
224,Justin Jackson,LAC,RB,9,LV,20,28,4900,14.92
226,James Robinson,JAX,RB,3,MIA,27,9,5400,14.9
227,David Johnson,HOU,RB,5,JAX,25,26,5200,14.89
227,Chris Carson,SEA,RB,16,LAR,1,4,6400,14.89
229,Joe Mixon,CIN,RB,3,PHI,22,18,5900,14.88
230,Ronald Jones,TB,RB,4,LAC,7,1,4700,14.85
230,Antonio Gibson,WAS,RB,7,DAL,31,25,5000,14.85
232,Nick Chubb,CLE,RB,2,CIN,6,18,6200,14.84
232,Chris Carson,SEA,RB,12,PHI,14,11,5900,14.84
234,D'Andre Swift,DET,RB,10,WAS,6,12,5100,14.79
235,Jerick McKinnon,SF,RB,4,PHI,19,14,5700,14.77
236,Chris Carson,SEA,RB,13,NYG,10,18,6300,14.7
236,D'Andre Swift,DET,RB,9,MIN,32,17,5000,14.7
238,Duke Johnson,HOU,RB,10,CLE,23,14,5000,14.66
239,David Montgomery,CHI,RB,13,DET,29,32,5500,14.65
240,James Conner,PIT,RB,11,JAX,30,26,6600,14.64
240,David Montgomery,CHI,RB,7,LAR,5,11,5900,14.64
242,Melvin Gordon III,DEN,RB,2,PIT,6,3,5200,14.56
243,Miles Sanders,PHI,RB,13,GB,17,30,6700,14.55
243,Myles Gaskin,MIA,RB,8,LAR,3,7,5200,14.55
245,Antonio Gibson,WAS,RB,17,PHI,23,13,null,14.5
245,Giovani Bernard,CIN,RB,7,CLE,22,15,4500,14.5
247,Chris Carson,SEA,RB,1,ATL,21,11,6200,14.47
247,Devin Singletary,BUF,RB,3,LAR,5,23,4900,14.47
249,Chris Carson,SEA,RB,15,WAS,4,7,6800,14.46
250,Cam Akers,LAR,RB,15,NYJ,31,16,6600,14.38
250,Miles Sanders,PHI,RB,15,ARI,14,20,6900,14.38
252,Melvin Gordon III,DEN,RB,3,TB,8,26,5800,14.35
253,Le'Veon Bell,NYJ,RB,1,BUF,2,13,5600,14.34
254,David Johnson,HOU,RB,6,TEN,17,25,5400,14.33
254,D'Andre Swift,DET,RB,8,IND,1,6,5300,14.33
256,Boston Scott,PHI,RB,1,WAS,28,30,4800,14.32
