Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
212,Rob Gronkowski,TB,TE,11,NYG,20,14,4300,9.65
212,Dawson Knox,BUF,TE,16,NE,2,1,5300,9.65
212,Ricky Seals-Jones,WAS,TE,7,GB,8,18,3700,9.65
212,Evan Engram,NYG,TE,3,ATL,30,31,3600,9.65
212,Austin Hooper,CLE,TE,14,BAL,18,30,3400,9.65
217,Noah Fant,DEN,TE,15,CIN,16,22,4400,9.61
218,Jared Cook,LAC,TE,8,NE,7,5,3400,9.6
219,Jonnu Smith,NE,TE,2,NYJ,13,7,4500,9.59
220,Tyler Conklin,MIN,TE,5,DET,27,17,3500,9.58
220,Dan Arnold,JAX,TE,12,ATL,27,12,4000,9.58
222,Dawson Knox,BUF,TE,11,IND,19,27,4000,9.56
223,Evan Engram,NYG,TE,12,PHI,13,32,3800,9.54
224,Jared Cook,LAC,TE,9,PHI,14,24,3300,9.5
225,Hunter Henry,NE,TE,10,CLE,9,13,4100,9.48
226,Jared Cook,LAC,TE,10,MIN,25,5,3200,9.46
227,Hunter Henry,NE,TE,8,LAC,17,30,4200,9.45
228,Foster Moreau,LV,TE,13,WAS,30,17,2700,9.4
228,Ricky Seals-Jones,WAS,TE,10,TB,12,21,3700,9.4
228,Logan Thomas,WAS,TE,12,SEA,25,23,3900,9.4
231,Dallas Goedert,PHI,TE,3,DAL,23,30,5100,9.38
231,Jared Cook,LAC,TE,3,KC,26,21,3900,9.38
233,Cole Kmet,CHI,TE,13,ARI,3,1,3600,9.37
234,Tyler Conklin,MIN,TE,11,GB,5,19,3900,9.36
235,Mike Gesicki,MIA,TE,4,IND,21,11,4000,9.33
236,Zach Ertz,ARI,TE,8,GB,8,16,4400,9.32
236,Cole Kmet,CHI,TE,12,DET,28,11,3700,9.32
238,Jared Cook,LAC,TE,14,NYG,16,12,3200,9.31
239,Cole Kmet,CHI,TE,11,BAL,23,29,3400,9.3
240,Tyler Higbee,LAR,TE,16,MIN,31,11,3800,9.28
240,Tyler Higbee,LAR,TE,17,BAL,27,26,4000,9.28
242,Tyler Conklin,MIN,TE,10,LAC,13,26,3400,9.27
243,Dallas Goedert,PHI,TE,5,CAR,5,16,5100,9.26
243,Pat Freiermuth,PIT,TE,18,BAL,27,26,4600,9.26
243,Cameron Brate,TB,TE,5,MIA,23,25,3300,9.26
246,Tyler Conklin,MIN,TE,15,CHI,25,9,4000,9.25
247,Mike Gesicki,MIA,TE,18,NE,2,1,5100,9.23
248,Austin Hooper,CLE,TE,1,KC,16,26,4000,9.22
249,Tyler Conklin,MIN,TE,12,SF,7,7,3700,9.18
250,Dallas Goedert,PHI,TE,4,KC,30,20,4800,9.16
250,Dalton Schultz,DAL,TE,4,CAR,2,5,3400,9.16
252,Jared Cook,LAC,TE,6,BAL,21,29,3200,9.15
253,Pat Freiermuth,PIT,TE,9,CHI,23,1,3800,9.14
254,Robert Tonyan,GB,TE,3,SF,16,24,4400,9.1
254,Jared Cook,LAC,TE,16,HOU,27,27,3500,9.1
256,Noah Fant,DEN,TE,18,KC,20,17,5000,9.08
257,Hunter Henry,NE,TE,5,HOU,26,32,3700,9.07
258,Pat Freiermuth,PIT,TE,11,LAC,15,28,4200,9.04
259,Ricky Seals-Jones,WAS,TE,6,KC,32,28,3000,9.01
260,Austin Hooper,CLE,TE,3,CHI,14,8,3600,8.99
261,Hunter Henry,NE,TE,2,NYJ,13,7,4300,8.96
262,Hunter Henry,NE,TE,9,CAR,4,12,4000,8.9
263,Tyler Conklin,MIN,TE,4,CLE,6,19,3500,8.87
263,Albert Okwuegbunam,DEN,TE,9,DAL,18,25,2600,8.87
265,Gerald Everett,SEA,TE,17,DET,28,23,4100,8.86
266,Dawson Knox,BUF,TE,4,HOU,15,29,3600,8.85
266,Noah Fant,DEN,TE,16,LV,26,30,4400,8.85
268,Robert Tonyan,GB,TE,5,CIN,6,6,4300,8.84
268,Tyler Conklin,MIN,TE,13,DET,29,15,3700,8.84
270,Jared Cook,LAC,TE,1,WAS,3,8,3800,8.81
271,Jared Cook,LAC,TE,11,PIT,8,12,3000,8.8
271,Evan Engram,NYG,TE,6,LAR,19,17,3400,8.8
273,Rob Gronkowski,TB,TE,1,DAL,24,16,3900,8.79
273,Foster Moreau,LV,TE,16,DEN,3,2,3600,8.79
275,Gerald Everett,SEA,TE,2,TEN,31,1,3600,8.78
275,Dan Arnold,JAX,TE,9,BUF,1,8,3400,8.78
277,Hunter Henry,NE,TE,16,BUF,1,5,4700,8.77
277,Hunter Henry,NE,TE,4,TB,31,21,3700,8.77
277,Jonnu Smith,NE,TE,1,MIA,12,7,4100,8.77
280,Gerald Everett,SEA,TE,1,IND,7,3,3400,8.76
281,Evan Engram,NYG,TE,9,LV,15,28,3800,8.75
282,Zach Ertz,ARI,TE,7,HOU,24,32,3900,8.74
283,Hunter Henry,NE,TE,18,MIA,14,21,4000,8.73
284,Hunter Henry,NE,TE,12,TEN,19,4,4500,8.71
284,Cole Kmet,CHI,TE,17,NYG,21,13,3400,8.71
286,Evan Engram,NYG,TE,5,DAL,22,30,3200,8.68
287,Pat Freiermuth,PIT,TE,17,CLE,14,22,4300,8.66
288,Pat Freiermuth,PIT,TE,8,CLE,11,12,3600,8.65
289,Foster Moreau,LV,TE,17,IND,16,29,3800,8.63
