name,team,pos,wk,opp,TGTS,REC,PCT,YDS,TD,LNG,Y/T,Y/R,ATT,YDS,AVG,TD,FUM,LST,FPTS/G,FPTS
 Juwan JohnsonF • 26 - 30 vs. CIN,NO,TE,6,CIN,6,4,66.7,41,0,20,6.8,10.2,0,0,0,0,0,0,8.1,8.1
 Jody FortsonF • 31 - 41 @ TB,KC,TE,4,TB,1,1,100,10,1,10,10,10,0,0,0,0,0,0,8,8
 Tyler ConklinF • 31 - 10 vs. CHI,NYJ,TE,12,CHI,3,3,100,50,0,29,16.7,16.7,0,0,0,0,0,0,8,8
 Juwan JohnsonF • 10 - 20 vs. TB,NO,TE,2,TB,7,4,57.1,40,0,22,5.7,10,0,0,0,0,0,0,8,8
 Daniel BellingerF • 16 - 23 vs. DAL,NYG,TE,3,DAL,5,4,80,40,0,20,8,10,0,0,0,0,0,0,8,8
 Durham SmytheF • 40 - 17 @ NYJ,MIA,TE,5,NYJ,1,1,100,8,0,8,8,8,1,1,1,1,0,0,7.9,7.9
 Noah FantF • 39 - 32 @ NO,SEA,TE,5,NO,5,3,60,49,0,32,9.8,16.3,0,0,0,0,0,0,7.9,7.9
 Gerald EverettF/OT • 19 - 16 vs. DEN,LAC,TE,6,DEN,7,5,71.4,29,0,9,4.1,5.8,0,0,0,0,0,0,7.9,7.9
 Teagan QuitorianoF/OT • 24 - 30 vs. KC,HOU,TE,15,KC,2,1,50,8,1,8,4,8,0,0,0,0,0,0,7.8,7.8
 Kyle RudolphF • 30 - 17 @ ATL,TB,TE,18,ATL,1,1,100,8,1,8,8,8,0,0,0,0,0,0,7.8,7.8
 T.J. HockensonF • 35 - 38 vs. PHI,DET,TE,1,PHI,7,4,57.1,38,0,16,5.4,9.5,0,0,0,0,0,0,7.8,7.8
 Gerald EverettF • 24 - 25 @ ARI,LAC,TE,12,ARI,4,4,100,18,0,10,4.5,4.5,0,0,0,0,0,0,7.8,7.8
 Kylen GransonF • 34 - 27 vs. JAX,IND,TE,6,JAX,4,4,100,38,0,17,9.5,9.5,0,0,0,0,1,0,7.8,7.8
 Austin HooperF • 20 - 16 @ JAX,TEN,TE,18,JAX,4,4,100,38,0,14,9.5,9.5,0,0,0,0,0,0,7.8,7.8
 Tyler ConklinF • 20 - 12 @ BUF,NYJ,TE,14,BUF,8,5,62.5,28,0,7,3.5,5.6,0,0,0,0,0,0,7.8,7.8
 Gerald EverettF • 23 - 17 vs. MIA,LAC,TE,14,MIA,8,5,62.5,28,0,11,3.5,5.6,0,0,0,0,0,0,7.8,7.8
 MyCole PruittF • 16 - 19 vs. PIT,ATL,TE,13,PIT,1,1,100,7,1,7,7,7,0,0,0,0,0,0,7.7,7.7
 Tyler MabryF • 23 - 6 vs. NYJ,SEA,TE,17,NYJ,1,1,100,7,1,7,7,7,0,0,0,0,0,0,7.7,7.7
 Cole KmetF • 13 - 35 vs. BUF,CHI,TE,16,BUF,6,5,83.3,27,0,7,4.5,5.4,0,0,0,0,0,0,7.7,7.7
 Pat FreiermuthF • 20 - 10 vs. NO,PIT,TE,10,NO,7,4,57.1,36,0,12,5.1,9,0,0,0,0,0,0,7.6,7.6
 Taysom HillF • 27 - 20 vs. LAR,NO,TE,11,LAR,1,1,100,8,0,8,8,8,9,52,5.8,0,0,0,7.6,7.56
 Ko KieftF/OT • 23 - 17 @ CLE,TB,TE,12,CLE,1,1,100,5,1,5,5,5,0,0,0,0,0,0,7.5,7.5
 Dallas GoedertF • 10 - 20 vs. NO,PHI,TE,17,NO,6,3,50,45,0,18,7.5,15,0,0,0,0,0,0,7.5,7.5
 Noah GrayF/OT • 20 - 17 vs. TEN,KC,TE,9,TEN,3,3,100,45,0,27,15,15,0,0,0,0,0,0,7.5,7.5
 Harrison BryantF • 30 - 31 vs. NYJ,CLE,TE,2,NYJ,4,3,75,45,0,30,11.2,15,0,0,0,0,0,0,7.5,7.5
 Noah GrayF • 28 - 34 @ DEN,KC,TE,14,DEN,3,3,100,45,0,25,15,15,0,0,0,0,0,0,7.5,7.5
