name,team,pos,wk,opp,TGTS,REC,PCT,YDS,TD,LNG,Y/T,Y/R,ATT,YDS,AVG,TD,FUM,LST,FPTS/G,FPTS
 Jakobi MeyersF • 20 - 7 @ MIA,NE,WR,1,MIA,6,4,66.7,55,0,27,9.2,13.8,1,7,7,0,0,0,10.2,10.2
 Jauan JenningsF • 19 - 10 @ CHI,SF,WR,1,CHI,6,4,66.7,62,0,44,10.3,15.5,0,0,0,0,0,0,10.2,10.2
 Chris OlaveF • 24 - 0 vs. LV,NO,WR,8,LV,7,5,71.4,52,0,14,7.4,10.4,0,0,0,0,0,0,10.2,10.2
 Demarcus RobinsonF • 14 - 16 @ PIT,BAL,WR,14,PIT,6,5,83.3,52,0,23,8.7,10.4,0,0,0,0,0,0,10.2,10.2
 Olamide ZaccheausF • 31 - 27 @ LAR,ATL,WR,2,LAR,2,2,100,21,1,11,10.5,10.5,0,0,0,0,0,0,10.1,10.1
 Julio JonesF • 22 - 27 vs. BAL,TB,WR,8,BAL,4,2,50,21,1,13,5.2,10.5,1,0,0,0,0,0,10.1,10.1
 Davante AdamsF • 17 - 16 @ LAR,LV,WR,14,LAR,7,3,42.9,71,0,35,10.1,23.7,0,0,0,0,0,0,10.1,10.1
 Kadarius ToneyF • 27 - 24 vs. DEN,KC,WR,17,DEN,4,4,100,71,0,38,17.8,17.8,0,0,0,0,1,1,10.1,10.1
 Richie JamesF • 19 - 16 vs. CAR,NYG,WR,2,CAR,6,5,83.3,51,0,15,8.5,10.2,0,0,0,0,0,0,10.1,10.1
 Tyler BoydF • 27 - 16 vs. BAL,CIN,WR,18,BAL,7,5,71.4,51,0,22,7.3,10.2,0,0,0,0,0,0,10.1,10.1
 Ben SkowronekF • 10 - 22 vs. DAL,LAR,WR,5,DAL,8,6,75,41,0,12,5.1,6.8,0,0,0,0,0,0,10.1,10.1
 Chris MooreF • 38 - 20 @ LV,HOU,WR,7,LV,4,2,50,20,1,13,5,10,0,0,0,0,0,0,10,10
 Chris MooreF • 24 - 16 @ NYG,HOU,WR,10,NYG,6,3,50,70,0,25,11.7,23.3,0,0,0,0,0,0,10,10
 Brandin CooksF • 10 - 23 vs. WAS,HOU,WR,11,WAS,6,3,50,70,0,41,11.7,23.3,0,0,0,0,0,0,10,10
 Tyler BoydF • 27 - 24 vs. KC,CIN,WR,13,KC,5,4,80,60,0,19,12,15,0,0,0,0,0,0,10,10
 Jakobi MeyersF • 15 - 38 @ CLE,NE,WR,6,CLE,4,4,100,60,0,27,15,15,0,0,0,0,0,0,10,10
 A.J. GreenF • 10 - 38 vs. SF,ARI,WR,11,SF,9,5,55.6,50,0,18,5.6,10,0,0,0,0,0,0,10,10
 Chase ClaypoolF • 38 - 3 @ BUF,PIT,WR,5,BUF,9,5,55.6,50,0,20,5.6,10,0,0,0,0,0,0,10,10
 A.J. BrownF • 16 - 17 @ IND,PHI,WR,11,IND,7,5,71.4,60,0,29,8.6,12,0,0,0,0,1,1,10,10
 Isaiah McKenzieF • 10 - 31 @ LAR,BUF,WR,1,LAR,3,2,66.7,19,1,12,6.3,9.5,0,0,0,0,0,0,9.9,9.9
 Randall CobbF • 40 - 33 @ PHI,GB,WR,12,PHI,4,2,50,19,1,11,4.8,9.5,0,0,0,0,0,0,9.9,9.9
 Phillip DorsettF • 17 - 29 vs. PHI,HOU,WR,9,PHI,5,3,60,69,0,34,13.8,23,0,0,0,0,0,0,9.9,9.9
 Mike EvansF • 17 - 16 vs. NO,TB,WR,13,NO,4,4,100,59,0,22,14.8,14.8,0,0,0,0,0,0,9.9,9.9
 Brandon AiyukF • 38 - 13 vs. ARI,SF,WR,18,ARI,5,4,80,59,0,22,11.8,14.8,0,0,0,0,0,0,9.9,9.9
 Joshua PalmerF • 31 - 28 @ DEN,LAC,WR,18,DEN,6,4,66.7,39,0,18,6.5,9.8,0,0,0,0,0,0,9.9,9.9
 Michael ThomasF • 22 - 14 @ CAR,NO,WR,3,CAR,5,5,100,49,0,16,9.8,9.8,0,0,0,0,0,0,9.9,9.9
 Sterling ShepardF • 16 - 23 vs. DAL,NYG,WR,3,DAL,10,5,50,49,0,16,4.9,9.8,0,0,0,0,0,0,9.9,9.9
 Adam ThielenF/OT • 30 - 33 @ BUF,MIN,WR,10,BUF,7,5,71.4,49,0,21,7,9.8,0,0,0,0,0,0,9.9,9.9
 Elijah MooreF • 9 - 24 vs. BAL,NYJ,WR,1,BAL,7,5,71.4,49,0,24,7,9.8,0,0,0,0,0,0,9.9,9.9
 Joshua PalmerF • 17 - 14 vs. TEN,LAC,WR,15,TEN,5,5,100,49,0,14,9.8,9.8,0,0,0,0,0,0,9.9,9.9
 Diontae JohnsonF • 17 - 24 @ IND,PIT,WR,12,IND,8,5,62.5,49,0,11,6.1,9.8,0,0,0,0,0,0,9.9,9.9
 Robert WoodsF • 22 - 36 vs. JAX,TEN,WR,14,JAX,7,5,71.4,49,0,18,7,9.8,0,0,0,0,0,0,9.9,9.9
 Curtis SamuelF • 10 - 23 @ HOU,WAS,WR,11,HOU,2,1,50,10,0,10,5,10,2,18,9,1,0,0,9.8,9.8
 DeVante ParkerF • 14 - 33 vs. CHI,NE,WR,7,CHI,5,3,60,68,0,43,13.6,22.7,0,0,0,0,0,0,9.8,9.8
 Kendrick BourneF • 26 - 37 vs. BAL,NE,WR,3,BAL,5,4,80,58,0,26,11.6,14.5,0,0,0,0,1,0,9.8,9.8
 Nico CollinsF • 16 - 9 @ DEN,HOU,WR,2,DEN,9,4,44.4,58,0,29,6.4,14.5,0,0,0,0,0,0,9.8,9.8
 Olamide ZaccheausF • 28 - 14 vs. SF,ATL,WR,6,SF,4,4,100,58,0,37,14.5,14.5,0,0,0,0,0,0,9.8,9.8
 Amari CooperF • 13 - 3 vs. BAL,CLE,WR,15,BAL,6,4,66.7,58,0,28,9.7,14.5,0,0,0,0,0,0,9.8,9.8
 Nick Westbrook-IkhineF • 16 - 20 vs. CIN,TEN,WR,12,CIN,6,4,66.7,58,0,25,9.7,14.5,0,0,0,0,0,0,9.8,9.8
 Marvin Jones Jr.F • 27 - 20 vs. LV,JAX,WR,9,LV,6,5,83.3,48,0,15,8,9.6,0,0,0,0,0,0,9.8,9.8
 Nico CollinsF • 10 - 23 vs. WAS,HOU,WR,11,WAS,7,5,71.4,48,0,22,6.9,9.6,0,0,0,0,0,0,9.8,9.8
 Kendall HintonF • 23 - 10 @ CAR,DEN,WR,12,CAR,9,5,55.6,35,0,14,3.9,7,1,13,13,0,0,0,9.8,9.8
 Marvin Jones Jr.F/OT • 40 - 34 vs. DAL,JAX,WR,15,DAL,6,2,33.3,17,1,10,2.8,8.5,0,0,0,0,0,0,9.7,9.7
 Shi SmithF • 24 - 30 @ SEA,CAR,WR,14,SEA,2,2,100,17,1,13,8.5,8.5,0,0,0,0,0,0,9.7,9.7
 Adam ThielenF • 17 - 20 @ WAS,MIN,WR,9,WAS,7,3,42.9,67,0,36,9.6,22.3,0,0,0,0,0,0,9.7,9.7
 Justin WatsonF • 27 - 30 @ LAC,KC,WR,11,LAC,4,3,75,67,0,29,16.8,22.3,0,0,0,0,0,0,9.7,9.7
 Darnell MooneyF • 30 - 31 vs. DET,CHI,WR,10,DET,4,4,100,57,0,22,14.2,14.2,0,0,0,0,0,0,9.7,9.7
 Marvin Jones Jr.F • 17 - 23 vs. NYG,JAX,WR,7,NYG,8,4,50,57,0,28,7.1,14.2,0,0,0,0,0,0,9.7,9.7
 Drake LondonF • 20 - 19 vs. ARI,ATL,WR,17,ARI,8,5,62.5,47,0,13,5.9,9.4,0,0,0,0,0,0,9.7,9.7
 Kendrick BourneF • 13 - 27 @ ARI,NE,WR,14,ARI,5,5,100,47,0,16,9.4,9.4,0,0,0,0,0,0,9.7,9.7
 Braxton BerriosF • 10 - 27 @ GB,NYJ,WR,6,GB,1,1,100,6,0,6,6,6,1,20,20,1,0,0,9.6,9.6
 Denzel MimsF • 17 - 22 vs. NE,NYJ,WR,8,NE,3,2,66.7,76,0,63,25.3,38,0,0,0,0,0,0,9.6,9.6
 DJ CharkF • 25 - 28 vs. BUF,DET,WR,12,BUF,5,2,40,16,1,15,3.2,8,0,0,0,0,0,0,9.6,9.6
