Name,Team,Pos,Week,Opponent,Opponent Rank,Opponent Position Rank,Salary,Projection
 Tyler Conklin,NYJ,TE,13,MIN,30,25,5000,6.73
 Dalton Schultz,DAL,TE,5,LAR,14,1,4800,6.73
 Hunter Henry,NE,TE,1,MIA,14,20,5400,6.71
 Robert Tonyan,GB,TE,4,NE,16,29,4900,6.71
 Cole Kmet,CHI,TE,16,BUF,5,1,5100,6.69
 Austin Hooper,TEN,TE,1,NYG,19,10,4900,6.69
 Noah Fant,SEA,TE,16,KC,24,18,5300,6.66
 Noah Fant,SEA,TE,17,NYJ,2,16,5200,6.64
 Mike Gesicki,MIA,TE,1,NE,2,1,5500,6.64
 Evan Engram,JAX,TE,7,NYG,10,20,5200,6.63
 David Njoku,CLE,TE,11,BUF,4,4,5800,6.61
 Hayden Hurst,CIN,TE,2,DAL,12,4,5300,6.6
 Greg Dulcich,DEN,TE,16,LAR,14,14,5700,6.6
 Dawson Knox,BUF,TE,8,GB,8,3,5200,6.58
 Irv Smith Jr.,MIN,TE,6,MIA,27,23,4900,6.58
 David Njoku,CLE,TE,12,TB,9,24,5600,6.57
 Tyler Higbee,LAR,TE,10,ARI,28,31,6000,6.57
 Dawson Knox,BUF,TE,15,MIA,21,29,5300,6.55
 Tyler Conklin,NYJ,TE,4,PIT,21,19,5400,6.55
 Hunter Henry,NE,TE,7,CHI,9,6,5100,6.52
 Logan Thomas,WAS,TE,4,DAL,10,2,5100,6.52
 Evan Engram,JAX,TE,6,IND,13,29,5200,6.52
 Taysom Hill,NO,TE,6,CIN,9,19,7500,6.51
 Cole Kmet,CHI,TE,12,NYJ,5,12,5300,6.51
 David Njoku,CLE,TE,1,CAR,7,13,5000,6.51
 Evan Engram,JAX,TE,12,BAL,15,18,4900,6.51
 Hunter Henry,NE,TE,14,ARI,30,32,5200,6.5
 Hunter Henry,NE,TE,2,PIT,23,14,5100,6.48
 Dawson Knox,BUF,TE,6,KC,28,21,5100,6.48
 Greg Dulcich,DEN,TE,8,JAX,15,9,4900,6.48
 Hunter Henry,NE,TE,15,LV,28,25,5200,6.47
 Foster Moreau,LV,TE,10,IND,7,22,5200,6.46
 Irv Smith Jr.,MIN,TE,3,DET,29,24,5000,6.45
 Juwan Johnson,NO,TE,8,LV,28,30,5200,6.44
 Tyler Conklin,NYJ,TE,12,CHI,14,6,4800,6.44
 Dawson Knox,BUF,TE,11,CLE,26,8,5100,6.43
 Irv Smith Jr.,MIN,TE,5,CHI,9,10,4700,6.42
 Hayden Hurst,CIN,TE,5,BAL,30,16,5000,6.41
 Darren Waller,LV,TE,17,SF,1,4,5500,6.4
 Cade Otton,TB,TE,8,BAL,21,20,5000,6.4
 Chigoziem Okonkwo,TEN,TE,15,LAC,23,20,5100,6.39
 Robert Tonyan,GB,TE,6,NYJ,15,16,4900,6.39
 Cole Kmet,CHI,TE,2,GB,25,6,4800,6.39
 Tyler Conklin,NYJ,TE,18,MIA,28,30,5100,6.35
 Juwan Johnson,NO,TE,18,CAR,22,8,5700,6.32
 Cole Kmet,CHI,TE,10,DET,32,29,5300,6.3
 Hunter Henry,NE,TE,8,NYJ,10,17,5100,6.3
 Darren Waller,LV,TE,15,NE,6,22,5100,6.3
 Mike Gesicki,MIA,TE,3,BUF,1,8,5400,6.29
 Dawson Knox,BUF,TE,10,MIN,20,25,5000,6.29
 Hunter Henry,NE,TE,18,BUF,2,1,5000,6.29
 Noah Fant,SEA,TE,1,DEN,4,3,5100,6.29
 Robert Tonyan,GB,TE,5,NYG,7,7,5100,6.28
