name,team,pos,wk,opp,ATT,YDS,AVG,TD,TGTS,REC,YDS,TD,FUM,LST,FPTS/G,FPTS
 Leonard FournetteF • 3 - 19 @ DAL,TB,RB,1,DAL,21,127,6,0,2,2,10,0,0,0,18.7,18.7
 Gus EdwardsF • 23 - 20 vs. CLE,BAL,RB,7,CLE,16,66,4.1,2,1,0,0,0,0,0,18.6,18.6
 David MontgomeryF • 27 - 10 @ GB,CHI,RB,2,GB,15,122,8.1,0,2,2,14,0,0,0,18.6,18.6
 Miles SandersF • 35 - 38 @ DET,PHI,RB,1,DET,13,96,7.4,1,2,2,9,0,0,0,18.5,18.5
 Saquon BarkleyF • 24 - 20 vs. BAL,NYG,RB,6,BAL,22,83,3.8,1,3,3,12,0,0,0,18.5,18.5
 Alvin KamaraF • 26 - 30 vs. CIN,NO,RB,6,CIN,19,99,5.2,0,9,6,25,0,0,0,18.4,18.4
 Leonard FournetteF • 31 - 41 vs. KC,TB,RB,4,KC,3,-3,-1,0,7,7,57,1,0,0,18.4,18.4
 Austin EkelerF • 27 - 24 @ KC,LAC,RB,2,KC,14,39,2.8,0,10,9,55,0,0,0,18.4,18.4
 Cordarrelle PattersonF • 17 - 20 vs. LAC,ATL,RB,9,LAC,13,44,3.4,2,1,1,9,0,0,0,18.3,18.3
 Nick ChubbF • 24 - 26 @ CAR,CLE,RB,1,CAR,22,141,6.4,0,1,1,2,0,0,0,18.3,18.3
 David MontgomeryF • 29 - 22 @ MIN,CHI,RB,5,MIN,12,20,1.7,1,4,4,62,0,0,0,18.2,18.2
 Kenneth Walker IIIF • 23 - 6 vs. NYJ,SEA,RB,17,NYJ,23,133,5.8,0,1,1,9,0,0,0,18.2,18.2
 Dameon PierceF • 23 - 20 @ CHI,HOU,RB,3,CHI,20,80,4,1,2,2,21,0,2,0,18.1,18.1
 Joe MixonF • 35 - 17 vs. ATL,CIN,RB,7,ATL,17,58,3.4,1,3,3,33,0,0,0,18.1,18.1
 Ezekiel ElliottF • 54 - 19 vs. IND,DAL,RB,13,IND,17,77,4.5,1,3,3,14,0,0,0,18.1,18.1
 James ConnerF • 24 - 15 @ DEN,ARI,RB,15,DEN,16,63,3.9,1,5,3,28,0,0,0,18.1,18.1
 Austin EkelerF • 27 - 30 vs. KC,LAC,RB,11,KC,19,83,4.4,1,2,2,17,0,0,0,18,18
 Rachaad WhiteF • 17 - 16 vs. NO,TB,RB,13,NO,9,28,3.1,0,8,6,41,1,1,1,17.9,17.9
 James CookF • 13 - 35 @ CHI,BUF,RB,16,CHI,11,99,9,1,2,1,9,0,0,0,17.8,17.8
 AJ DillonF • 40 - 33 @ PHI,GB,RB,12,PHI,8,64,8,1,4,3,24,0,0,0,17.8,17.8
 Joe MixonF • 27 - 16 vs. BAL,CIN,RB,18,BAL,11,27,2.5,1,5,5,41,0,0,0,17.8,17.8
 Joe MixonF • 18 - 22 @ NE,CIN,RB,16,NE,16,65,4.1,0,9,7,43,0,0,0,17.8,17.8
 Ezekiel ElliottF • 24 - 6 vs. DET,DAL,RB,7,DET,15,57,3.8,2,0,0,0,0,0,0,17.7,17.7
 Ezekiel ElliottF • 3 - 40 @ MIN,DAL,RB,11,MIN,15,42,2.8,2,1,1,5,0,0,0,17.7,17.7
 Devin SingletaryF • 31 - 23 vs. CLE,BUF,RB,11,CLE,18,86,4.8,1,2,2,11,0,0,0,17.7,17.7
 Christian McCaffreyF • 22 - 16 vs. LAC,SF,RB,10,LAC,14,38,2.7,1,6,4,39,0,0,0,17.7,17.7
 JaMycal HastyF • 3 - 31 @ HOU,JAX,RB,17,HOU,10,33,3.3,1,6,6,23,0,0,0,17.6,17.6
 Christian McCaffreyF • 10 - 38 @ ARI,SF,RB,11,ARI,7,39,5.6,0,7,7,67,0,0,0,17.6,17.6
