Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
408,Eric Saubert,DEN,TE,17,KC,3,3,100,30,0,24,10,10,0,0,0,0,0,0,6,6
408,Foster Moreau,LV,TE,2,ARI,4,3,75,30,0,19,7.5,10,0,0,0,0,0,0,6,6
408,Noah Fant,SEA,TE,18,LAR,4,4,100,20,0,8,5,5,0,0,0,0,0,0,6,6
415,Robert Tonyan,GB,TE,18,DET,3,3,100,29,0,20,9.7,9.7,0,0,0,0,0,0,5.9,5.9
415,Robert Tonyan,GB,TE,9,DET,4,3,75,29,0,17,7.2,9.7,0,0,0,0,0,0,5.9,5.9
415,Cade Otton,TB,TE,4,KC,4,3,75,29,0,12,7.2,9.7,0,0,0,0,0,0,5.9,5.9
415,Quintin Morris,BUF,TE,5,PIT,5,3,60,39,0,26,7.8,13,0,0,0,0,1,1,5.9,5.9
415,Kylen Granson,IND,TE,13,DAL,6,4,66.7,19,0,9,3.2,4.8,0,0,0,0,0,0,5.9,5.9
415,John Bates,WAS,TE,4,DAL,6,4,66.7,19,0,7,3.2,4.8,0,0,0,0,1,0,5.9,5.9
421,Chigoziem Okonkwo,TEN,TE,9,KC,3,1,33.3,48,0,48,16,48,0,0,0,0,0,0,5.8,5.8
421,Jordan Akins,HOU,TE,17,JAX,3,2,66.7,38,0,29,12.7,19,0,0,0,0,0,0,5.8,5.8
421,Armani Rogers,WAS,TE,7,GB,3,3,100,28,0,17,9.3,9.3,0,0,0,0,0,0,5.8,5.8
421,Foster Moreau,LV,TE,7,HOU,5,3,60,28,0,17,5.6,9.3,0,0,0,0,0,0,5.8,5.8
421,Trey McBride,ARI,TE,14,NE,6,3,50,28,0,15,4.7,9.3,0,0,0,0,0,0,5.8,5.8
421,David Njoku,CLE,TE,15,BAL,6,3,50,28,0,13,4.7,9.3,0,0,0,0,0,0,5.8,5.8
421,Harrison Bryant,CLE,TE,4,ATL,6,4,66.7,18,0,8,3,4.5,0,0,0,0,0,0,5.8,5.8
428,Mike Gesicki,MIA,TE,7,PIT,7,3,42.9,27,0,18,3.9,9,0,0,0,0,0,0,5.7,5.7
428,Cole Kmet,CHI,TE,12,NYJ,6,3,50,27,0,14,4.5,9,0,0,0,0,1,0,5.7,5.7
428,Daniel Bellinger,NYG,TE,16,MIN,2,2,100,27,0,15,13.5,13.5,0,0,0,0,1,1,5.7,5.7
428,Giovanni Ricci,CAR,TE,5,SF,3,3,100,27,0,12,9,9,0,0,0,0,0,0,5.7,5.7
432,George Kittle,SF,TE,12,NO,4,3,75,26,0,14,6.5,8.7,0,0,0,0,0,0,5.6,5.6
432,T.J. Hockenson,DET,TE,2,WAS,7,3,42.9,26,0,18,3.7,8.7,0,0,0,0,0,0,5.6,5.6
434,Darren Waller,LV,TE,18,KC,6,2,33.3,35,0,24,5.8,17.5,0,0,0,0,0,0,5.5,5.5
434,Dawson Knox,BUF,TE,9,NYJ,4,3,75,25,0,17,6.2,8.3,0,0,0,0,0,0,5.5,5.5
436,Kylen Granson,IND,TE,15,MIN,2,2,100,34,0,21,17,17,0,0,0,0,0,0,5.4,5.4
436,Austin Hooper,TEN,TE,9,KC,3,2,66.7,34,0,18,11.3,17,0,0,0,0,0,0,5.4,5.4
436,Ian Thomas,CAR,TE,11,BAL,4,3,75,24,0,12,6,8,0,0,0,0,0,0,5.4,5.4
436,Tanner Hudson,NYG,TE,10,HOU,3,3,100,24,0,16,8,8,0,0,0,0,0,0,5.4,5.4
436,Chigoziem Okonkwo,TEN,TE,17,DAL,4,3,75,24,0,12,6,8,0,0,0,0,0,0,5.4,5.4
436,C.J. Uzomah,NYJ,TE,17,SEA,7,3,42.9,24,0,12,3.4,8,0,0,0,0,0,0,5.4,5.4
436,Tre' McKitty,LAC,TE,1,LV,4,3,75,24,0,12,6,8,0,0,0,0,1,0,5.4,5.4
436,Foster Moreau,LV,TE,9,JAX,5,2,40,42,0,30,8.4,21,0,2,0,0,1,1,5.4,5.4
436,Will Dissly,SEA,TE,9,ARI,4,3,75,24,0,13,6,8,0,0,0,0,0,0,5.4,5.4
436,Trey McBride,ARI,TE,4,CAR,3,3,100,24,0,11,8,8,0,0,0,0,0,0,5.4,5.4
436,Darren Waller,LV,TE,4,DEN,5,3,60,24,0,13,4.8,8,0,0,0,0,0,0,5.4,5.4
436,Pharaoh Brown,HOU,TE,2,DEN,5,3,60,24,0,18,4.8,8,0,0,0,0,0,0,5.4,5.4
436,Hayden Hurst,CIN,TE,18,BAL,5,4,80,14,0,7,2.8,3.5,0,0,0,0,0,0,5.4,5.4
436,Trey McBride,ARI,TE,11,SF,4,4,100,14,0,6,3.5,3.5,0,0,0,0,0,0,5.4,5.4
450,Austin Hooper,TEN,TE,15,LAC,4,2,50,33,0,17,8.2,16.5,0,0,0,0,0,0,5.3,5.3
450,Dalton Schultz,DAL,TE,13,IND,6,2,33.3,33,0,22,5.5,16.5,0,0,0,0,0,0,5.3,5.3
450,Jordan Akins,HOU,TE,4,LAC,2,2,100,33,0,30,16.5,16.5,0,0,0,0,0,0,5.3,5.3
450,Durham Smythe,MIA,TE,3,BUF,3,3,100,23,0,13,7.7,7.7,0,0,0,0,0,0,5.3,5.3
450,Irv Smith Jr.,MIN,TE,4,NO,4,3,75,23,0,10,5.8,7.7,0,0,0,0,0,0,5.3,5.3
450,Daniel Bellinger,NYG,TE,4,CHI,3,3,100,23,0,12,7.7,7.7,0,0,0,0,0,0,5.3,5.3
456,Cole Kmet,CHI,TE,7,NE,3,2,66.7,32,0,26,10.7,16,0,0,0,0,0,0,5.2,5.2
456,Irv Smith Jr.,MIN,TE,3,DET,6,2,33.3,32,0,17,5.3,16,0,0,0,0,0,0,5.2,5.2
456,Dalton Schultz,DAL,TE,11,MIN,5,3,60,22,0,12,4.4,7.3,0,0,0,0,0,0,5.2,5.2
456,Darren Waller,LV,TE,3,TEN,5,3,60,22,0,17,4.4,7.3,0,0,0,0,0,0,5.2,5.2
456,Kylen Granson,IND,TE,1,HOU,7,3,42.9,22,0,12,3.1,7.3,0,0,0,0,0,0,5.2,5.2
456,Austin Hooper,TEN,TE,13,PHI,5,3,60,22,0,9,4.4,7.3,0,0,0,0,0,0,5.2,5.2
462,Chigoziem Okonkwo,TEN,TE,10,DEN,2,1,50,41,0,41,20.5,41,0,0,0,0,0,0,5.1,5.1
462,Donald Parham Jr.,LAC,TE,18,DEN,2,2,100,31,0,23,15.5,15.5,0,0,0,0,0,0,5.1,5.1
462,Mike Gesicki,MIA,TE,10,CLE,3,2,66.7,31,0,16,10.3,15.5,0,0,0,0,0,0,5.1,5.1
462,James Mitchell,DET,TE,16,CAR,2,2,100,31,0,22,15.5,15.5,0,0,0,0,0,0,5.1,5.1
462,Hayden Hurst,CIN,TE,6,NO,3,3,100,21,0,9,7,7,0,0,0,0,0,0,5.1,5.1
462,Tre' McKitty,LAC,TE,10,SF,6,3,50,21,0,9,3.5,7,0,0,0,0,0,0,5.1,5.1
462,Jonnu Smith,NE,TE,16,CIN,4,3,75,21,0,9,5.2,7,0,0,0,0,0,0,5.1,5.1
462,Jordan Akins,HOU,TE,13,CLE,6,3,50,21,0,11,3.5,7,0,0,0,0,0,0,5.1,5.1
462,Jonnu Smith,NE,TE,9,IND,3,3,100,21,0,24,7,7,0,0,0,0,0,0,5.1,5.1
471,Grant Calcaterra,PHI,TE,3,WAS,1,1,100,40,0,40,40,40,0,0,0,0,0,0,5,5
471,Isaiah Likely,BAL,TE,6,NYG,4,2,50,30,0,19,7.5,15,0,0,0,0,0,0,5,5
471,Robert Tonyan,GB,TE,12,PHI,3,3,100,20,0,17,6.7,6.7,0,0,0,0,0,0,5,5
471,Logan Thomas,WAS,TE,13,NYG,4,3,75,20,0,11,5,6.7,0,0,0,0,0,0,5,5
475,Daniel Bellinger,NYG,TE,14,PHI,3,3,100,19,0,11,6.3,6.3,0,0,0,0,0,0,4.9,4.9
475,Jelani Woods,IND,TE,17,NYG,4,3,75,19,0,11,4.8,6.3,0,0,0,0,0,0,4.9,4.9
475,Jesper Horsted,LV,TE,5,KC,3,3,100,19,0,9,6.3,6.3,0,0,0,0,0,0,4.9,4.9
475,Geoff Swaim,TEN,TE,1,NYG,4,3,75,19,0,9,4.8,6.3,0,0,0,0,0,0,4.9,4.9
479,Hayden Hurst,CIN,TE,11,PIT,3,2,66.7,28,0,21,9.3,14,0,0,0,0,0,0,4.8,4.8
479,Kyle Pitts,ATL,TE,10,CAR,8,2,25,28,0,18,3.5,14,0,0,0,0,0,0,4.8,4.8
479,Will Dissly,SEA,TE,10,TB,2,2,100,28,0,15,14,14,0,0,0,0,0,0,4.8,4.8
479,Josiah Deguara,GB,TE,1,MIN,2,2,100,28,0,15,14,14,0,0,0,0,0,0,4.8,4.8
479,Jelani Woods,IND,TE,13,DAL,4,2,50,28,0,27,7,14,0,0,0,0,0,0,4.8,4.8
479,Adam Trautman,NO,TE,13,TB,3,2,66.7,28,0,20,9.3,14,0,0,0,0,0,0,4.8,4.8
479,Colby Parkinson,SEA,TE,4,DET,3,2,66.7,28,0,15,9.3,14,0,0,0,0,0,0,4.8,4.8
479,Johnny Mundt,MIN,TE,2,PHI,3,2,66.7,28,0,17,9.3,14,0,0,0,0,0,0,4.8,4.8
479,Harrison Bryant,CLE,TE,6,NE,4,3,75,18,0,7,4.5,6,0,0,0,0,0,0,4.8,4.8
488,Kyle Pitts,ATL,TE,9,LAC,7,2,28.6,27,0,18,3.9,13.5,0,0,0,0,0,0,4.7,4.7
488,O.J. Howard,HOU,TE,4,LAC,5,2,40,27,0,22,5.4,13.5,0,0,0,0,0,0,4.7,4.7
488,C.J. Uzomah,NYJ,TE,12,CHI,3,3,100,17,0,8,5.7,5.7,0,0,0,0,0,0,4.7,4.7
488,Trey McBride,ARI,TE,16,TB,4,3,75,17,0,7,4.2,5.7,0,0,0,0,0,0,4.7,4.7
488,Johnny Mundt,MIN,TE,1,GB,3,3,100,17,0,12,5.7,5.7,0,0,0,0,0,0,4.7,4.7
493,Jelani Woods,IND,TE,15,MIN,1,1,100,36,0,36,36,36,0,0,0,0,0,0,4.6,4.6
493,Jody Fortson,KC,TE,12,LAR,3,2,66.7,26,0,21,8.7,13,0,0,0,0,0,0,4.6,4.6
493,Tyler Davis,GB,TE,3,TB,2,2,100,26,0,23,13,13,0,0,0,0,0,0,4.6,4.6
493,Mo Alie-Cox,IND,TE,1,HOU,2,2,100,26,0,13,13,13,0,0,0,0,0,0,4.6,4.6
493,Noah Fant,SEA,TE,1,DEN,4,3,75,16,0,13,4,5.3,0,0,0,0,0,0,4.6,4.6
493,C.J. Uzomah,NYJ,TE,9,BUF,3,3,100,16,0,6,5.3,5.3,0,0,0,0,0,0,4.6,4.6
